lp,RSPO,REGON,nip,Nazwa szkoły,Powiat,Gmina,Miejscowość,Ulica,Numer domu,tel.,email,Numer telefonu kontaktowego do organu prowadzącego,Adres e-mail do organu prowadzącego,Adres witryny internetowej organu prowadzącego (jeżeli nie posiada należy wpisać „nie posiada”),ORGAN regon,ORGAN nip,REGON szkoły,Numer szkoły w Rejestrze Szkół i Placówek Oświatowych (RSPO),Numer telefonu kontaktowego do szkoły,Adres kontaktowy e-mail do szkoły,Adres witryny internetowej szkoły (jeżeli nie posiada należy wpisać „nie posiada”),Imię dyr.,Nazwisko dyr.,Imię wice,Nazwisko wice,Dziewczęta w szkole w klasach IV - VIII,Chłopcy w szkole w klasach IV - VIII,suma,grupa
409,54235,803118,8171133166,SZKOŁA PODSTAWOWA NR 2 IM.TADEUSZA KOŚCIUSZKI W MIELCU,mielecki,Mielec,Mielec,ul. Kościuszki,4,,sp2@miasto.mielec.pl,177874000,sekretariat@um.mielec.pl,www.mielec.pl,690581867,,803118,54235,123531,409@mail.pl,www.sp2mielec.pl,DARIA,Flis,brak,brak,118,138,256,duża
410,54249,663321,7931513320,SZKOŁA PODSTAWOWA W STARYM DZIKOWIE,lubaczowski,Stary Dzików,Stary Dzików,ul. Kościuszki,83,,zsstarydzikow@op.pl,166318050,urzad@starydzikow.pl,www.starydzikow.pl,650900594,,663321,54249,123532,410@mail.pl,www.spstarydzikow.szkolnastrona.pl,Kazimiera,Duma,brak,brak,44,49,93,mała
411,54276,1190876,8722094026,PUBLICZNA SZKOŁA PODSTAWOWA IM. WANDY CHOTOMSKIEJ W PUSTYNI,dębicki,Dębica,Pustynia,,160,,zspustynia@gzeas.pl,146803310,urzad@ugdebica.pl,ugdebica.pl,851661056,,1190876,54276,123533,411@mail.pl,www.pustynia.ug.debica.pl,Monika,Grębowiec,brak,brak,79,77,156,średnia
412,54327,690034020,8181439116,SZKOŁA PODSTAWOWA NR 3 IM.JANA PAWŁA II W SĘDZISZOWIE MAŁOPOLSKIM,ropczycko-sędziszowski,Sędziszów Małopolski,Sędziszów Małopolski,ul. Osiedle Młodych,20,172216825,sptrojka@wp.pl,172216594,scuw@sedziszow-mlp.pl,www.sedziszow-mlp.pl,690581979,,690034020,54327,123534,412@mail.pl,www.sp3sedziszow.edupage.org,Benedykt,Kozieja,brak,brak,136,110,246,średnia
413,54406,1191380,8722093914,PUBLICZNA SZKOŁA PODSTAWOWA IM. ADAMA LAZAROWICZA W GUMNISKACH,dębicki,Dębica,Gumniska,,120,,zsgumniska@gzeas.pl,146803310,urzad@ugdebica.pl,https://ugdebica.pl,851661056,,1191380,54406,123535,413@mail.pl,https://gumniska.ugdebica.pl/,Grażyna,Bieńko,brak,brak,32,47,79,mała
414,54409,1132436,8181439151,SZKOŁA PODSTAWOWA W IM.ŚW.JANA KANTEGO BĘDZIEMYŚLU,ropczycko-sędziszowski,Sędziszów Małopolski,Będziemyśl,,130,177455900,sp.bedz@gmail.com,177453612,um@sedziszow-mlp.pl,https://sedziszow-mlp.pl,690581979,,1132436,54409,123536,414@mail.pl,https://bedziemysl.szkolna.net,Joanna,Nowak-Maluchnik,brak,brak,21,15,36,mała
415,55283,1131454,8181439197,SZKOŁA PODSTAWOWA NR 1 IM.MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W SĘDZISZOWIE MAŁOPOLSKIM,ropczycko-sędziszowski,Sędziszów Małopolski,Sędziszów Małopolski,ul. Szkolna,13,,sp1sedziszowmalopolski@gmail.com,172216594,zosip@pro.onet.pl,https://sedziszow-mlp.pl/,690581979,,1131454,55283,123537,415@mail.pl,https://spsedziszowmlp1.edupage.org/,Paweł,Czerkowicz,brak,brak,39,48,87,mała
416,55285,1131483,8181439228,SZKOŁA PODSTAWOWA NR 5 IM. MARII KONOPNICKIEJ W SĘDZISZOWIE MAŁOPOLSKIM,ropczycko-sędziszowski,Sędziszów Małopolski,Sędziszów Małopolski,ul. Kawęczyn,70,172216403,spkaweczyn@interia.pl,172216594,zosip@pro.onet.pl,https://sedziszow-mal.pl/,690581979,,1131483,55285,123538,416@mail.pl,https://sp5sedziszowmal.szkolna.net,Grzegorz,Tymcio,brak,brak,23,30,53,mała
417,55394,690032920,8181439168,SZKOŁA PODSTAWOWA W KRZYWEJ,ropczycko-sędziszowski,Sędziszów Małopolski,Krzywa,,121,,spkrzywa@wp.pl,172216594,zosip@pro.onet.pl,https://sedziszow-mlp.pl/,690581979,,690032920,55394,123539,417@mail.pl,http://spkrzywa.pl/,Sławomir,Kurecka,brak,brak,24,27,51,mała
418,55550,1131460,8181439174,SZKOŁA PODSTAWOWA IM. KS. WŁADYSŁAWA ŚWIDRA W CZARNEJ SĘDZISZOWSKIEJ,ropczycko-sędziszowski,Sędziszów Małopolski,Czarna Sędziszowska,,145a,,dyrektor.spcz4@wp.pl,177458242,zosip@pro.onet.pl,https://sedziszow-mlp.pl/,690581979,,1131460,55550,123540,418@mail.pl,szkolaczarna.szkolnastrona.pl,Tomasz,Pyzik,brak,brak,50,55,105,mała
419,55575,1190907,8722093943,PUBLICZNA SZKOŁA PODSTAWOWA IM. EDWARDA RACZYŃSKIEGO W ZAWADZIE,dębicki,Dębica,Zawada,,154,,zszawada@gzeas.pl,146803310,urzad@ugdebica.pl,https://ugdebica.pl/,851661056,,1190907,55575,123541,419@mail.pl,zawada.ugdebica.pl,Małgorzata,Świstak,brak,brak,18,20,38,mała
420,55586,1191373,8722093908,PUBLICZNA SZKOŁA PODSTAWOWA W GŁOBIKOWEJ,dębicki,Dębica,Głobikowa,,81,,zsglobikowa@gzeas.pl,14816292,urzad@ugdebica.pl,ugdebica.pl,851661056,,1191373,55586,123542,420@mail.pl,globikowa.ugdebica.pl,Grażyna,Wójtowicz,brak,brak,23,19,42,mała
421,55813,1190853,8722093883,PUBLICZNA SZKOŁA PODSTAWOWA IM. IGNACEGO ŁUKASIEWICZA W PODGRODZIU,dębicki,Dębica,Podgrodzie,,56a,,zspodgrodzie@gzeas.pl,146803310,urzad@ugdebica.pl,ugdebica.pl,851661056,,1190853,55813,123543,421@mail.pl,podgrodzie.ugdebica.pl,Barbara,Filipowicz,brak,brak,43,54,97,mała
422,56115,663315,7931527291,PUBLICZNA SZKOŁA PODSTAWOWA IM.HENRYKA SIENKIEWICZA,lubaczowski,Wielkie Oczy,Wielkie Oczy,ul. Leśna,13,,zspwo@wp.pl,166310126,ug@wielkieoczy.info.pl,www.wielkieoczy.info.pl,650900588,,663315,56115,123544,422@mail.pl,zspwielkieoczy.szkolna.net,Jadwiga,Szopa,brak,brak,56,48,104,mała
423,56118,1208317,7931527285,PUBLICZNA SZKOŁA PODSTAWOWA IM.BOHATERÓW WRZEŚNIA1939 W ŁUKAWCU,lubaczowski,Wielkie Oczy,Łukawiec,,84,166310406,dar777@op.pl,166310126,ug@wielkieoczy.info.pl,www.wielkieoczy.info.pl,650900588,,1208317,56118,123545,423@mail.pl,http://www.zslukawiec.pl/,Dariusz,Pipka,brak,brak,48,29,77,mała
424,56192,1186840,8651657455,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W CHWAŁOWICACH,stalowowolski,Radomyśl nad Sanem,Chwałowice,,130,,zschwalowice@op.pl,158454302,sekretariat@radomysl.pl,www.radomysl.pl,830409123,,1186840,56192,123546,424@mail.pl,www.zschwalowice.pl,Wioletta ,Świtalska,brak,brak,22,34,56,mała
425,56332,641970,8651657165,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA WIKTORA W RADOMYŚLU NAD SANEM,stalowowolski,Radomyśl nad Sanem,Radomyśl nad Sanem,ul. Legionów,22,158454312,szkola@radomysl.pl,158454302,sekretariat@radomysl.pl,www.radomysl.pl,830409123,,641970,56332,123547,425@mail.pl,zsradomysl.szkolnastrona.pl,Marek,Rybka,brak,brak,38,34,72,mała
426,57069,1207996,7922220127,SZKOŁA PODSTAWOWA IM. OLIMPIJCZYKÓW POLSKICH W ROZBORZU DŁUGIM,jarosławski,Pruchnik,Rozbórz Długi,,104,,zsrozboz@wp.pl,166236117,ptuleja@gminapruchnik.pl,www.gminapruchnik.pl,650900424,,1207996,57069,123548,426@mail.pl,www.sprozborzdlugi.edupage.org,Barbara,Leśniak,brak,brak,33,35,68,mała
427,57258,1131017,8191403539,SZKOŁA PODSTAWOWA IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W ZESPOLE SZKÓŁ W WYŻNEM,strzyżowski,Czudec,Wyżne,,40,,zswyzne@czudec.pl,177172100,ugczudec@czudec.pl,www.czudec.pl,690582170,,1131017,57258,123549,427@mail.pl,www.zswyzne.szkolnastrona.pl,Urszula,Marciak,brak,brak,29,25,54,mała
428,57589,1200876,6881129687,SZKOŁA PODSTAWOWA IM. ŚW. JANA PAWŁA II W BALIGRODZIE,leski,Baligród,Baligród,ul. Adama Mickiewicza,1,,spbaligrod@op.pl,134684077,gmina@baligrod.pl,www.baligrod.pl,370440005,,1200876,57589,123550,428@mail.pl,nie posiada,Dorota,Fudali,brak,brak,31,44,75,mała
429,57604,1130992,8191403545,SZKOŁA PODSTAWOWA NR 1 IM. PUŁKOWNIKA KAZIMIERZA IRANKA OSMECKIEGO W ZESPOLE SZKÓŁ W PSTRĄGOWEJ,strzyżowski,Czudec,Pstrągowa,,105,172779002,zspstragowa@czudec.pl,177172100,ugczudec@czudec.pl,www.czudec.pl,690582170,,1130992,57604,123551,429@mail.pl,https://zs-pstragowa.pl/,Edyta,Biernacka,brak,brak,31,38,69,mała
430,57877,1016285,6020068599,SZKOŁA PODSTAWOWA W KRZESZOWIE,niżański,Krzeszów,Krzeszów,ul. Ulanowska,7,158798315,gimkrzeszow@poczta.onet.pl,158798352,sekratariat@krzeszow.pl,https://krzeszow.pl/,830409436,,1016285,57877,123552,430@mail.pl,https://krzeszow.szkolnastrona.pl/,Arkadiusz,Weiss,brak,brak,47,52,99,mała
431,58561,1250673,8171068003,SZKOŁA PODSTAWOWA NR 9 Z ODDZIAŁAMI MISTRZOSTWA SPORTOWEGO IM. WŁADYSŁAWA JASIŃSKIEGO JĘDRUSIA W MIELCU,mielecki,Mielec,Mielec,ul. Drzewieckiego,11,,sp9@miasto.mielec.pl,177874000,sekretariat@um.mielec.pl,https://www.mielec.pl/,690581867,,1250673,58561,123553,431@mail.pl,http://sp9.mielec.pl/,Jacek,Janeczko,brak,brak,195,110,305,duża
432,58562,803124,8171032844,SZKOŁA PODSTAWOWA NR 3 IM.WOJSKA POLSKIEGO,mielecki,Mielec,Mielec,ul. Żeromskiego,30,177875203,sp3@miasto.mielec.pl,177874000,sekretariat@um.mielec.pl,www.mielec.pl,690581867,,803124,58562,123554,432@mail.pl,www.sp3.mielec.pl,Adam,Nizińska,brak,brak,198,206,404,duża
433,58777,1197737,6841769311,SZKOŁA PODSTAWOWA IM.KS.ANTONIEGO PODGÓRSKIEGO W IWONICZU,krośnieński,Iwonicz-Zdrój,Iwonicz,ul. Zagrodniki,21,,spiwonicz@iwonicz-zdroj.pl,134350212,sekretariat@iwonicz-zdroj.pl,https://iwonicz-zdroj.pl/,370440548,,1197737,58777,123555,433@mail.pl,sp.iwonicz.pl,Monika,Benewiat,brak,brak,86,87,173,średnia
434,58780,1197714,6841092363,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W LUBATOWEJ,krośnieński,Iwonicz-Zdrój,Lubatowa,,284,,sp_lubatowa@poczta.onet.pl,134350212,sekretariat@iwonicz-zdroj.pl,iwonicz-zdroj.pl,370440548,,1197714,58780,123556,434@mail.pl,szkolalubatowa.pl,Jerzy,Majka,brak,brak,80,107,187,średnia
435,58797,567971,8171799971,SZKOŁA PODSTAWOWA IM. ŚW. JANA PAWŁA II W RADOMYŚLU WIELKIM,mielecki,Radomyśl Wielki,Radomyśl Wielki,ul. Klonowa,2,,szkolakk@op.pl,146807052,gzeasrw@wp.pl,nie posiada,851661228,,567971,58797,123557,435@mail.pl,https://www.spradomyslwielki.pl/,Stanisław,Zięba,brak,brak,94,100,194,średnia
436,58805,850313778,8721993538,SZKOŁA PODSTAWOWA W KORZENIOWIE,dębicki,Żyraków,Korzeniów,,77a,,dyrekcja@spkorzeniow.pl,146807121,gmina@zyrakow.pl,zyrakow.pl,851661091,8722222062,850313778,58805,123558,436@mail.pl,spkorzeniow.pl,Małgorzata,Drozd-Ulijasz,brak,brak,28,15,43,mała
437,58903,629821,6871802763,SZKOŁA PODSTAWOWA W BESKU,sanocki,Besko,Besko,ul. Kolejowa,54,,zsbesko@zsbesko.pl,134673061,ug@besko.pl,www.besko.pl,370440726,,629821,58903,123559,437@mail.pl,www.zsbesko.pl,Arkadiusz,Flis,brak,brak,110,115,225,średnia
438,59112,1191396,8722093877,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA Z LATOSZYNA W LATOSZYNIE,dębicki,Dębica,Latoszyn,,23,,zslatoszyn@gzeas.pl,146803310,urzad@gminadebica.pl,www.ugdebica.pl,851661056,,1191396,59112,123560,438@mail.pl,www.latoszyn.ugdebica.pl,Renata,Duma,brak,brak,31,33,64,mała
439,59624,1190899,8722093920,PUBLICZNA SZKOŁA PODSTWOWA IM. BOHATERÓW MONTE CASSINO W STASIÓWCE,dębicki,Dębica,Stasiówka,,130,,zsstasiowka@gzeas.pl,146816292,urzad@ugdebica.pl,https://ugdebica.pl/,851661056,,1190899,59624,123561,439@mail.pl,https://stasiowka.ugdebica.pl/,Joanna ,Grębowiec,brak,brak,27,27,54,mała
440,59628,1191367,8722094090,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BRZEŹNICY,dębicki,Dębica,Brzeźnica,ul. Szkolna,1,,zsbrzeznica@gzeas.pl,146803310,urzad@ugdebica.pl,ugdebica.pl,851661056,,1191367,59628,123562,440@mail.pl,brzeznica.ugdebica.pl,Stanisława,Kozieja,brak,brak,81,98,179,średnia
441,59693,1201692,8171799847,SZKOŁA PODSTAWOWA W DĄBRÓWCE WISŁOCKIEJ,mielecki,Radomyśl Wielki,Dąbrówka Wisłocka,,115,,spdabrowkaw@op.pl,146819929,gzeasrw@wp.pl,nie posiada,851661228,,1201692,59693,123563,441@mail.pl,nie posiada,Joanna,Bieńko,brak,brak,6,13,19,mała
442,59701,1201670,8722002892,PUBLICZNA SZKOŁA PODSTAWOWA W ZWIERNIKU,dębicki,Pilzno,Zwiernik,,256,146665163,zszwiernik@wp.pl,166807720,sekretariat@gminapilzno.pl,http://pilzno.um.gov.pl/,851661197,,1201670,59701,123564,442@mail.pl,zszwiernik.superszkolna.pl,Publiczna szkoła Podstawowa,Nowak-Maluchnik,brak,brak,26,26,52,mała
443,59811,1231374,0,SZKOŁA PODSTAWOWA NR 14 Z ODDZIAŁAMI SPORTOWYMI I INTEGRACYJNYMI IM. POLSKICH OLIMPIJCZYKÓW W KROŚNIE,m. Krosno,M. Krosno,Krosno,ul. Wojska Polskiego,45,134743940,sp14@mzszoi.eu,134743325,eks@um.krosno.pl,www.krosno.pl ,370440809,,1231374,59811,123565,443@mail.pl,www.sp14krosno.pl,Robert ,Czerkowicz,brak,brak,165,214,379,duża
444,59814,1201723,8171799882,SZKOŁA PODSTAWOWA W DULCZY WIELKIEJ,mielecki,Radomyśl Wielki,Dulcza Wielka,ul. ks. Kalinowskiego,212,146819848,spdulczawielka@op.pl,146807062,gzeasrw@wp.pl,nie posiada,851661228,,1201723,59814,123566,444@mail.pl,https://zspdulczawielka.edupage.org,Agnieszka,Tymcio,brak,brak,34,48,82,mała
445,59876,690038212,8171786566,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W DOBRYNINIE,mielecki,Przecław,Dobrynin,,217,177748216,dobryninsp@onet.pl,175813119,urzadmiejski@przeclaw.org,https://przeclaw.org,690581927,,690038212,59876,123567,445@mail.pl,spdobrynin.pl,Wiesław,Kurecka,brak,brak,45,39,84,mała
446,59941,1190860,8722094121,PUBLICZNA SZKOŁA PODSTWAOWA Z ODDZIAŁAMI INTEGRACYJNYMI IM. MARII KONOPNICKIEJ W PUSTKOWIE,dębicki,Dębica,Pustków,,94,14682-10-60,zspustkow@gzeas.pl,146803310,urzad@ugdebica.pl,https://ugdebica.pl/,851661056,,1190860,59941,123568,446@mail.pl,pustkow.ugdebica.pl,Marta,Pyzik,brak,brak,70,56,126,średnia
447,60169,690501710,8171994661,SZKOŁA PODSTAWOWA NR 13 IM. JANA BYTNARA RUDEGO W MIELCU,mielecki,Mielec,Mielec,ul. Łąkowa,6,,sp13@miasto.mielec.pl,177874001,sekretariat@um.mielec.pl,www.mielec.pl,690581867,,690501710,60169,123569,447@mail.pl,Łąkowa,Dorota,Świstak,brak,brak,103,143,246,średnia
448,60175,1214513,6861471974,SZKOŁA PODSTAWOWA IM.ŚW. JADWIGI KRÓLOWEJ POLSKI Z ODDZIAŁEM PRZEDSZKOLNYM W IZDEBKACH,brzozowski,Nozdrzec,Izdebki,,362,,spizdebki@onet.pl,134398036,ugn@nozdrzec.pl,www.nozdrzec.pl,370440181,,1214513,60175,123570,448@mail.pl,www.spizdebki.edupage.org,Agnieszka,Wójtowicz,brak,brak,43,65,108,mała
449,60228,1197370,6861503964,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W JABŁONCE,brzozowski,Dydnia,Jabłonka,,19,,spjablonka@poczta.onet.pl,134303002,urzad@gminadydnia.pl,https://gminadydnia.pl/ ,370440212,,1197370,60228,123571,449@mail.pl,https://spjablonka.edupage.org/ ,Zuzanna,Filipowicz,brak,brak,31,30,61,mała
450,60245,1201746,8171799907,SZKOŁA PODSTAWOWA W PODBORZU,mielecki,Radomyśl Wielki,Podborze,,101,146819457,sp_podborze@op.pl,146807062,gzeasrw@wp.pl,https://radomyslwielki.pl/,851661228,,1201746,60245,123572,450@mail.pl,nie posiada,Anna,Szopa,brak,brak,23,23,46,mała
451,60819,1131477,8181439122,SZKOŁA PODSTAWOWA W GÓRZE ROPCZYCKIEJ,ropczycko-sędziszowski,Sędziszów Małopolski,Góra Ropczycka,,2,,gora.ropczycka@interia.pl,172216001,um@sedziszow-mlp.pl,sedziszow-mlp.pl,690581979,,1131477,60819,123573,451@mail.pl,goraropczycka-zs.itl.pl,Mariusz,Pipka,brak,brak,31,19,50,mała
452,60951,1201769,8171799942,SZKOŁA PODSTAWOWA W ZDZIARCU,mielecki,Radomyśl Wielki,Zdziarzec,,116,146824773,spzdziarzec@wp.pl,146807062,gzeasrw@wp.pl,radomyslwielki.pl,851661228,,1201769,60951,123574,452@mail.pl,spzdziarzec.edu.pl,Piotr,Świtalska,brak,brak,21,22,43,mała
453,61437,1198234,0,ZESPÓŁ SZKÓŁ PUBLICZNYCH SZKOŁA PODSTAWOWA IM. KS. TADEUSZA JAKUBIŃSKIEGO W MILCZY,krośnieński,Rymanów,Milcza,ul. Szkolna,16,134358117,zspmilcza@rymanow.pl,134355006,gmina@rymanow.pl,www.rymanow.pl,370440590,,1198234,61437,123575,453@mail.pl,zspmilcza.edupage.org,Beata,Rybka,brak,brak,30,31,61,mała
454,61586,737628,7931430953,SZKOŁA PODSTAWOWA IM. ŚW. BRATA ALBERTA W NAROLU,lubaczowski,Narol,Narol,ul. Graniczna,11,,szkola@spnarol.pl,166317086,urzad@narol.pl,www.narol.pl,650900631,,737628,61586,123576,454@mail.pl,www.spnarol.pl,Wiesław,Leśniak,brak,brak,72,87,159,średnia
455,61639,595105,6891160983,SZKOŁA PODSTAWOWA IM WOJSK OCHRONY POGRANICZA,bieszczadzki,Lutowiska,Lutowiska,,45,,,134610013,gcr@lutowiska.pl,www.lutowiska.pl,370440040,,595105,61639,123577,455@mail.pl,www.szkolalutowiska.blogspot.com,Beata,Marciak,brak,brak,32,46,78,mała
456,61890,1207068,7941771420,SZKOŁA PODSTAWOWA IM. ŚW. JANA KANTEGO W PANTALOWICACH,przeworski,Kańczuga,Pantalowice,,158 B,,skolapantalowice@interia.pl,166423142,sekretarz@kanczuga.pl,kanczuga.pl,650900602,,1207068,61890,123578,456@mail.pl,sppantalowice.pl,Elżbieta,Fudali,brak,brak,18,30,48,mała
457,61895,1207045,7941771408,SZKOŁA PODSTAWOWA IM. POLEGŁYCH W STRAJKU W KRZECZOWICACH W 1936 W KRZECZOWICACH,przeworski,Kańczuga,Krzeczowice,,56A,166423928,kszkola1@tlen.pl,166423142,sekretarz@kanczuga.pl,kanczuga.pl,650900602,,1207045,61895,123579,457@mail.pl,spkrzeczowice.pl,Bogusława,Biernacka,brak,brak,24,24,48,mała
458,61897,1207051,7941771383,SZKOŁA PODSTAWOWA IM. ŚW. JANA KANTEGO W ŁOPUSZCE WIELKIEJ,przeworski,Kańczuga,Łopuszka Wielka,,488,166423614,sp_lopuszka@wp.pl,166423142,sekretarz@kanczuga.pl,kanczuga.pl,650900602,,1207051,61897,123580,458@mail.pl,www.zsglopuszkaw.cba.pl,Lucyna,Weiss,brak,brak,35,57,92,mała
459,64487,663338,7952358942,SZKOŁA PODSTAWOWA IM.ŚW.JADWIGI KRÓLOWEJ W STUBNIE,przemyski,Stubno,Stubno,,254,166714037,spstubno@op.pl,167354004,ug@stubno.pl,www.stubno.pl,650900335,,663338,64487,123581,459@mail.pl,www.szkolastubno.edupage.org,Daniel,Janeczko,brak,brak,50,41,91,mała
460,65210,1133387,8151206146,SZKOŁA PODSTAWOWA NR 2 IM. BATALIONÓW CHŁOPSKICH W ŻOŁYNI,łańcucki,Żołynia,Żołynia,ul. Białobrzeska,422,172243595,sp2zolynia@wp.pl,172243018,gzeas@zolynia.pl,www.zolynia.pl,690581844,,1133387,65210,123582,460@mail.pl,https://sp2zolynia.edupage.org/,Jolanta,Nizińska,brak,brak,19,18,37,mała
461,66100,1187673,8671994747,SZKOŁA PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO W SOKOLNIKACH,tarnobrzeski,Gorzyce,Sokolniki,ul. Szkolna,6,158363550,spsokolniki@onet.pl,158362075,ug@gminagorzyce.pl,"www.gminagorzyce.pl, www.gorzyce.itl.pl",830409169,,1187673,66100,123583,461@mail.pl,http://zspsokolniki.pl.,Małgorzata ,Benewiat,brak,brak,39,48,87,mała
462,66234,270610,0,SZKOŁA PODSTAWOWA IM. TADEUSZA MARII KANTORA W WIELOPOLU SKRZYŃSKIM,ropczycko-sędziszowski,Wielopole Skrzyńskie,Wielopole Skrzyńskie,,265,,spwielopole-skrz@wp.pl,172214819,sekretariat@wielopole.itl.pl,https://wielopole.eu,690581985,,270610,66234,123584,462@mail.pl,https://spwielopole-skrz.szkolna.net,Marek ,Majka,brak,brak,67,55,122,średnia
463,66314,1201730,8171799899,SZKOŁA PODSTAWOWA W JANOWCU,mielecki,Radomyśl Wielki,Janowiec,,10,146836349,janowiecszkola@interia.pl,146819121,gzeasrw@wp.pl,radomyslwielki.pl,851661228,,1201730,66314,123585,463@mail.pl,janowiecsp.pl,Anna,Zięba,brak,brak,18,25,43,mała
464,66450,1187680,8671994693,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W TRZEŚNI,tarnobrzeski,Gorzyce,Trześń,ul. Szkolna,2,158362912,sptrzesn@op.pl,158362075,ug@gminagorzyce.pl,www.gminagorzyce.pl,830409169,,1187680,66450,123586,464@mail.pl,www.sptrzesn.szkolna.net,Jerzy,Drozd-Ulijasz,brak,brak,22,21,43,mała
465,66504,1208228,7952289750,SZKOŁA PODSTAWOWA IM. DR BOLESŁAWA ORZECHOWICZA W KALNIKOWIE,przemyski,Stubno,Kalników,,87,166714202,zs.kalnikow@op.pl,167354004,ug@stubno.pl,www.stubno.pl,650900335,,1208228,66504,123587,465@mail.pl,https://zskalnikow.superszkolna.pl/,Stanisław,Flis,brak,brak,19,31,50,mała
466,67855,1201500,8722002449,PUBLICZNA SZKOŁA PODSTAWOWA IM.III ZGRUPOWANIA ARMII KRAJOWEJ POCISK W DOBRKOWIE,dębicki,Pilzno,Dobrków,,68a,146721080,dobrkow@op.pl,146721036,sekretariat@gminapilzno.pl,https://pilzno.um.gov.pl/,851661197,,1201500,67855,123588,466@mail.pl,http://dobrkow.szkolnastrona.pl/,PIOTR,Duma,brak,brak,47,44,91,mała
467,68042,1321663,8672240499,SZKOŁA PODSTAWOWA NR 2 IM. JANA PAWŁA II W GORZYCACH,tarnobrzeski,Gorzyce,Gorzyce,ul. Edukacji Narodowej,3,158361869,sp2gorzyce@poczta.onet.pl,158362075,ug@gminagorzyce.pl,http://www.gminagorzyce.pl,830409169,,1321663,68042,123589,467@mail.pl,https://sp2gorzyce.edupage.org,Sylwester,Grębowiec,brak,brak,125,113,238,średnia
468,68044,1187667,8671994687,SZKOŁA PODSTAWOWA IM. STANISŁAWA JACHOWICZA W FURMANACH,tarnobrzeski,Gorzyce,Furmany,ul. Kościelna,2,,spfurmany@op.pl,158362075,ug@gminagorzyce.pl,http://www.gminagorzyce.pl/,830409169,,1187667,68044,123590,468@mail.pl,http://www.spfurmany.edu.pl/,Jolanta,Kozieja,brak,brak,11,12,23,mała
469,68334,650376,8671994701,SZKOŁA PODSTAWOWA NR 1 IM. KS. ADAMA OSETKA W GORZYCACH,tarnobrzeski,Gorzyce,Gorzyce,ul. Szkolna,45,,psp_gorzyce1@interia.pl,158362075,ug@gminagorzyce.pl,http://www.gminagorzyce.pl/,830409169,,650376,68334,123591,469@mail.pl,https://sp1gorzyce.edupage.org/,Piotr,Bieńko,brak,brak,30,32,62,mała
470,68445,741340,6852004670,SZKOŁA PODSTAWOWA W ZESPOLE SZKÓŁ W KREMPNEJ,jasielski,Krempna,Krempna,,45,134414018,gimkrempna@poczta.onet.pl,134414045,ugkrempna@wp.pl,www.krempna.pl,370440330,,741340,68445,123592,470@mail.pl,zskrempna.szkolna.net,Urszula,Nowak-Maluchnik,brak,brak,37,31,68,mała
471,68504,1207795,7931430976,SZKOŁA PODSTAWOWA W ŁUKAWICY,lubaczowski,Narol,Łukawica,,9,,sekretariat@zslukawica.pl,166317086,urzad@narol.pl,www.narol.pl,650900631,,1207795,68504,123593,471@mail.pl,www.zslukawica.pl,Marian,Czerkowicz,brak,brak,35,37,72,mała
472,68667,1131253,8161523322,SZKOŁA PODSTAWOWA BIEDACZÓW,leżajski,Leżajsk,Biedaczów,,72,172420541,spbiedaczow@poczta.gminalezajsk.pl,172406200,oswiata@poczta.gminalezajsk.pl,https://samorzad.gov.pl/web/gmina-lezajsk,690581732,,1131253,68667,123594,472@mail.pl,http://spbiedaczow.gminalezajsk.pl/,Stanisław,Tymcio,brak,brak,33,33,66,mała
473,69418,1277206,8722002811,PUBLICZNA SZKOŁA PODSTAWOWA W JAWORZU GÓRNYM,dębicki,Pilzno,Jaworze Górne,,81b,,jaworze@op.pl,146807720,sekretariat@gminapilzno.pl,http://www.pilzno.um.gov.pl/,851661197,,1277206,69418,123595,473@mail.pl,http://jaworze.cba.pl/,Barbara,Kurecka,brak,brak,17,16,33,mała
474,69741,1201663,8722002751,PUBLICZNA SZKOŁA PODSTAWOWA W STRZEGOCICACH,dębicki,Pilzno,Strzegocice,,54,146817347,zsstrzegocice@wp.pl,146721036,sekretariat@gminapilzno.pl,pilzno.um.gov.pl,851661197,,1201663,69741,123596,474@mail.pl,spstrzegocice.edupage.org,Marta,Pyzik,brak,brak,48,58,106,mała
475,69749,1201522,8722003064,PUBLICZNA SZKOŁA PODSTAWOWA W ŁĘKACH DOLNYCH,dębicki,Pilzno,Łęki Dolne,,122a,146725007,zslekidolne@wp.pl,146721036,sekretariat@gminapilzno.pl,pilzno.um.gov.pl,851661197,,1201522,69749,123597,475@mail.pl,Łęki Dolne 122a,Antoni,Świstak,brak,brak,20,24,44,mała
